2026-05-02 18:59:04 | __main__             | INFO     | [TRANSFORMACION] Iniciando transformación de datos...
2026-05-02 18:59:04 | __main__             | INFO     | [TRANSFORMACION] Leyendo 1 archivo(s)
2026-05-02 18:59:04 | __main__             | INFO     | [TRANSFORMACION] Filas cargadas: 43765
2026-05-02 18:59:04 | __main__             | INFO     | [TRANSFORMACION] Columnas: ['crypto', 'open_time', 'open_price', 'high_price', 'low_price', 'close_price', 'volume', 'close_time', 'market_cap']
2026-05-02 18:59:04 | __main__             | INFO     | [TRANSFORMACION] Convirtiendo columnas numéricas a float64...
2026-05-02 18:59:04 | __main__             | INFO     | [TRANSFORMACION] Eliminando duplicados...
2026-05-02 18:59:04 | __main__             | INFO     | [TRANSFORMACION] Eliminando nulos en columnas críticas...
2026-05-02 18:59:04 | __main__             | INFO     | [TRANSFORMACION] Shape final: (43765, 10)
2026-05-02 18:59:04 | __main__             | INFO     | [TRANSFORMACION] Guardado en: C:\Users\Usuario\Desktop\tfm-ia\data\processed\data_lake\all_cryptos.parquet
2026-05-02 18:59:04 | __main__             | INFO     | [TRANSFORMACION] Primeras filas:
        crypto           open_time  open_price  high_price  low_price  close_price    volume              close_time    market_cap                processed_at
0  BinanceCoin 2025-05-03 00:00:00      600.69      601.20     599.19       599.40  4611.802 2025-05-03 00:59:59.999  8.772653e+10  2026-05-02T18:59:04.239847
1  BinanceCoin 2025-05-03 01:00:00      599.39      599.65     598.18       598.49  4418.646 2025-05-03 01:59:59.999  8.772653e+10  2026-05-02T18:59:04.239847
2  BinanceCoin 2025-05-03 02:00:00      598.48      600.09     598.41       599.73  4672.133 2025-05-03 02:59:59.999  8.772653e+10  2026-05-02T18:59:04.239847
3  BinanceCoin 2025-05-03 03:00:00      599.73      600.19     598.84       599.29  2793.241 2025-05-03 03:59:59.999  8.772653e+10  2026-05-02T18:59:04.239847
4  BinanceCoin 2025-05-03 04:00:00      599.28      600.15     599.28       600.03  2227.768 2025-05-03 04:59:59.999  8.772653e+10  2026-05-02T18:59:04.239847
2026-05-02 18:59:04 | __main__             | INFO     | [VALIDACION] Validando dataset...
2026-05-02 18:59:04 | __main__             | INFO     | [OK]   Dataset no vacío
2026-05-02 18:59:04 | __main__             | INFO     | [OK]   Sin duplicados (crypto + open_time)
2026-05-02 18:59:04 | __main__             | INFO     | [OK]   Columna 'crypto' existe
2026-05-02 18:59:04 | __main__             | INFO     | [OK]   Columna 'open_time' existe
2026-05-02 18:59:04 | __main__             | INFO     | [OK]   Columna 'open_price' existe
2026-05-02 18:59:04 | __main__             | INFO     | [OK]   Columna 'high_price' existe
2026-05-02 18:59:04 | __main__             | INFO     | [OK]   Columna 'low_price' existe
2026-05-02 18:59:04 | __main__             | INFO     | [OK]   Columna 'close_price' existe
2026-05-02 18:59:04 | __main__             | INFO     | [OK]   Columna 'volume' existe
2026-05-02 18:59:04 | __main__             | INFO     | [OK]   Columna 'close_time' existe
2026-05-02 18:59:04 | __main__             | INFO     | [OK]   Columna 'market_cap' existe
2026-05-02 18:59:04 | __main__             | INFO     | [OK]   Sin nulos en open_price
2026-05-02 18:59:04 | __main__             | INFO     | [OK]   Sin nulos en close_price
2026-05-02 18:59:04 | __main__             | INFO     | [OK]   Sin nulos en volume
2026-05-02 18:59:04 | __main__             | INFO     | [OK]   Precios > 0
2026-05-02 18:59:04 | __main__             | INFO     | [OK]   Volumen >= 0
2026-05-02 18:59:04 | __main__             | INFO     | [OK]   high_price >= low_price
2026-05-02 18:59:04 | __main__             | INFO     | [OK]   Datos recientes (< 7 días)
2026-05-02 18:59:04 | __main__             | INFO     | [OK]   Exactamente 5 cryptos
2026-05-02 18:59:04 | __main__             | INFO     | [OK]   Filas por crypto uniformes
